name,cik,sic_code,s1_filing_date
GENVEC INC,0000934473,2834,1998-04-30
"GeoVax Labs, Inc.",0000832489,2834,2008-06-06
GLOBEIMMUNE INC,0001245104,2834,2012-07-02
"GRI Bio, Inc.",0001824293,2834,2020-10-23
"GT Biopharma, Inc.",0000109657,2834,2016-08-24
"Hepion Pharmaceuticals, Inc.",0001583771,2834,2014-05-12
"HERON THERAPEUTICS, INC. /DE/",0000818033,2834,2011-05-18
HUMAN LIFE SCIENCE HOLDING CORP.,0001425640,2834,2008-02-08
"HUMANIGEN, INC",0001293310,2834,2012-10-05
"HYPERION DEFI, INC.",0001682639,2834,2017-12-19
"IDM PHARMA, INC.",0000822206,2834,2002-10-24
IDT INC,0000940487,2834,1999-08-17
"IGC Pharma, Inc.",0001326205,2834,2005-05-13
Immunome Inc.,0001472012,2834,2020-09-09
IMMUSOL INC,0001017919,2834,1996-07-03
INCARA PHARMACEUTICALS CORP,0000936538,2834,2000-08-04
"Inhibitor Therapeutics, Inc.",0001042418,2834,2014-09-17
Innovation1 Biotech Inc.,0001629205,2834,2015-04-13
"Inozyme Pharma, Inc.",0001693011,2834,2020-07-02
INSPIRE PHARMACEUTICALS INC,0001040416,2834,2000-02-25
Intec Pharma Ltd.,0001638381,2834,2020-06-05
INTERPHARM HOLDINGS INC,0000893970,2834,1996-07-24
INTROGEN THERAPEUTICS INC,0001018710,2834,1996-09-03
"Invea Therapeutics, Inc",0001906425,2834,2023-10-20
IPI Legacy Liquidation Co,0001445499,2834,2021-04-02
ISTA PHARMACEUTICALS INC,0000930553,2834,2000-04-05
JENNER BIOTHERAPIES INC,0000907038,2834,1997-02-19
JUNIPER PHARMACEUTICALS INC,0000821995,2834,1995-06-09
"KALA BIO, Inc.",0001479419,2834,2017-06-23
"Karuna Therapeutics, Inc.",0001771917,2834,2019-05-31
Karyopharm Therapeutics Inc.,0001503802,2834,2014-06-19
"Keros Therapeutics, Inc.",0001664710,2834,2020-03-16
KERYX BIOPHARMACEUTICALS INC,0001114220,2834,2000-05-19
"Kezar Life Sciences, Inc.",0001645666,2834,2018-05-24
KING PHARMACEUTICALS INC,0001047699,2834,1997-10-24
KOS PHARMACEUTICALS INC,0001018952,2834,1996-12-17
LARGE SCALE BIOLOGY CORP,0001108951,2834,2000-04-06
LB PHARMACEUTICALS INC,0001691082,2834,2025-08-22
LBC Bioscience Inc.,0001683743,2834,2017-04-20
LEUKOSITE INC,0000915320,2834,1997-06-27
"LISATA THERAPEUTICS, INC.",0000320017,2834,2020-06-19
"LUMOS PHARMA, INC.",0001126234,2834,2011-11-10
MANNKIND CORP,0000899460,2834,2017-07-03
METABASIS THERAPEUTICS INC,0001053221,2834,2004-02-03
MetaVia Inc.,0001638287,2834,2016-04-18
Midatech Pharma US Inc.,0000919745,2834,2000-03-31
MILLENNIUM PHARMACEUTICALS INC,0001002637,2834,1996-05-06
"Mirati Therapeutics, Inc.",0001576263,2834,2013-10-03
"MUSTANG BIO, INC.",0001680048,2834,2023-12-12
Nabriva Therapeutics plc,0001641640,2834,2021-10-08
"NephroGenex, Inc.",0001338095,2834,2013-12-23
Neptune Wellness Solutions Inc.,0001401395,2834,2022-11-07
"NovaBay Pharmaceuticals, Inc.",0001389545,2834,2017-12-15
NovaCardia Inc,0001322494,2834,2007-03-29
OCULEX PHARMACEUTICALS INC /,0001110669,2834,2000-04-06
ONCOSEC MEDICAL Inc,0001444307,2834,2008-09-03
"Oncotelic Therapeutics, Inc.",0000908259,2834,2008-05-02
Oracle Healthcare Acquisition Corp.,0001338648,2834,2005-09-30
ORAPHARMA INC,0001028065,2834,1999-12-30
Organogenesis Holdings Inc.,0001661181,2834,2016-09-02
OS Therapies Inc,0001795091,2834,2023-03-31
Ovid Therapeutics Inc.,0001636651,2834,2017-04-10
PARATEK PHARMACEUTICALS INC,0001037643,2834,2012-09-27
PATHOGENESIS CORP,0001001186,2834,1997-02-25
PENWEST PHARMACEUTICALS CO,0001047188,2834,1997-10-21
"Perspective Therapeutics, Inc.",0000728387,2834,2018-10-19
"Petros Pharmaceuticals, Inc.",0001815903,2834,2021-11-12
PHARMA PATCH PUBLIC LIMITED CO,0000913668,2834,1996-08-14
Pharmasset Inc,0001301081,2834,2006-05-08
PHARMAVENE INC,0000873269,2834,1996-07-05
PHIBRO ANIMAL HEALTH CORP,0001069899,2834,2014-03-10
Phio Pharmaceuticals Corp.,0001533040,2834,2011-10-25
POINT Biopharma Global Inc.,0001811764,2834,2020-06-15
POZEN INC /NC,0001059790,2834,2000-04-28
PRAECIS PHARMACEUTICALS INC,0001033025,2834,1998-08-12
"Prestige Brands, Inc.",0001293894,2834,2004-07-28
PROMETHEUS LABORATORIES INC,0001141961,2834,2007-12-19
Protech Global Holdings Corp.,0001398731,2834,2009-07-07
PROTHENA CORP PUBLIC LTD CO,0001559053,2834,2013-09-17
"Pyxis Oncology, Inc.",0001782223,2834,2021-09-17
RADIENT PHARMACEUTICALS Corp,0000838879,2834,2010-05-03
"Radius Health, Inc.",0001428522,2834,2011-06-23
Regulus Therapeutics Inc.,0001505512,2834,2013-06-26
Relypsa Inc,0001416792,2834,2013-09-27
REXALL SUNDOWN INC,0000901620,2834,1996-11-01
RIBAPHARM INC,0001116613,2834,2000-06-15
"ROCKET PHARMACEUTICALS, INC.",0001281895,2834,2014-11-05
"RxElite, Inc.",0001346405,2834,2008-03-14
Sagimet Biosciences Inc.,0001400118,2834,2021-04-16
"Salspera, Inc.",0002084032,2834,2026-02-02
SANO CORP,0001001259,2834,1996-10-25
"Satsuma Pharmaceuticals, Inc.",0001692830,2834,2019-08-16
Savara Inc,0001160308,2834,2009-07-24
SCHEIN PHARMACEUTICAL INC,0000948929,2834,1997-12-03
"SCIELE PHARMA, INC.",0001106773,2834,2000-02-18
"Scienture Holdings, Inc.",0001382574,2834,2019-05-06
SCRIPTGEN PHARMACEUTICALS INC,0000944753,2834,1997-11-20
"Sensei Biotherapeutics, Inc.",0001829802,2834,2021-01-15
SENSUS DRUG DEVELOPMENT CORP,0000949175,2834,1998-07-28
SHAMAN PHARMACEUTICALS INC,0000891933,2834,1999-05-07
SIBIA NEUROSCIENCES INC,0001011065,2834,1997-11-04
"Sienna Biopharmaceuticals, Inc.",0001656328,2834,2017-07-03
SIRNA THERAPEUTICS INC,0000892112,2834,1999-03-26
"SKINVISIBLE, INC.",0001085277,2834,2000-03-22
SOLENO THERAPEUTICS INC,0001484565,2834,2015-05-04
SPIROS DEVELOPMENT CORP II INC,0001047600,2834,1997-10-10
"Spyre Therapeutics, Inc.",0001636282,2834,2015-06-16
"Starton Holdings, Inc.",0002049977,2834,2025-12-11
STEMLINE THERAPEUTICS INC,0001264587,2834,2012-04-02
"Sucampo Pharmaceuticals, Inc.",0001365216,2834,2006-06-19
Syndax Pharmaceuticals Inc,0001395937,2834,2014-03-27
Talecris Biotherapeutics Holdings Corp.,0001405197,2834,2007-07-27
TANOX INC,0001099414,2834,2000-02-02
TETRAPHASE PHARMACEUTICALS INC,0001373707,2834,2013-02-11
TOLERRX INC,0001131933,2834,2003-08-26
TREVENA INC,0001429560,2834,2013-10-09
TRIANGLE PHARMACEUTICALS INC,0001022622,2834,1996-09-11
TULARIK INC,0000889057,2834,1999-10-15
Turn Therapeutics Inc.,0002023016,2834,2025-09-02
VACCINOGEN INC,0001453001,2834,2013-07-12
"Vaneltix Pharma, Inc.",0000932352,2834,1997-07-31
"Verastem, Inc.",0001526119,2834,2011-11-03
VICURON PHARMACEUTICALS INC,0001052547,2834,2000-03-22
"Viking Therapeutics, Inc.",0001607678,2834,2014-07-01
"Viridian Therapeutics, Inc.\DE",0001590750,2834,2014-03-19
"Visterra, Inc.",0001426375,2834,2016-01-05
VIVUS INC,0000881524,2834,2020-06-08
"Vyrix Pharmaceuticals, Inc.",0001602413,2834,2014-04-16
Warner Chilcott plc,0001323854,2834,2006-06-09
Xenon Pharmaceuticals Inc.,0001582313,2834,2014-09-10
"Xilio Therapeutics, Inc.",0001840233,2834,2021-10-01
"Y-mAbs Therapeutics, Inc.",0001722964,2834,2018-08-24
"Zentalis Pharmaceuticals, Inc.",0001725160,2834,2020-03-06
"ZEVRA THERAPEUTICS, INC.",0001434647,2834,2015-03-11
Zosano Pharma Corp,0001587221,2834,2014-06-24
ABGENIX INC,0001052837,2836,1998-04-03
"Aceragen, Inc.",0000861838,2836,2013-03-11
AIM ImmunoTech Inc.,0000946644,2836,2017-05-04
ANAVEX LIFE SCIENCES CORP.,0001314052,2836,2013-09-04
ANERGEN INC,0000877929,2836,1996-06-28
Apeiron Capital Investment Corp.,0001849011,2836,2021-06-24
Aphton CORP,0000840319,2836,2005-09-09
APOLLON INC,0001016518,2836,1997-10-14
APPLIED NEUROSOLUTIONS INC,0000872947,2836,1997-08-08
Aptose Biosciences Inc.,0000882361,2836,2023-06-20
